skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
StatTrak™ Desert Eagle | Printstream (Minimal Wear);3.294;-;1;2;4;8;;3250 ₺;3292 ₺;3001 ₺;3103 ₺
★ StatTrak™ Survival Knife | Stained (Battle-Scarred);8.857;1;1;1;1;1;4500 ₺;4500 ₺;4500 ₺;4500 ₺;4500 ₺
XM1014 | Entombed (Battle-Scarred);78;-;-;-;-;-;;;-;;
StatTrak™ Desert Eagle | Printstream (Battle-Scarred);2.179;-;1;1;2;4;;1475 ₺;1475 ₺;1525 ₺;1580 ₺
★ StatTrak™ Skeleton Knife | Night Stripe (Minimal Wear);16.716;-;-;-;-;-;;;-;;
StatTrak™ XM1014 | Entombed (Field-Tested);145;-;-;-;-;-;;;-;;
XM1014 | Entombed (Well-Worn);104;-;-;-;1;1;;;-;88 ₺;88 ₺
Tec-9 | Brother (Factory New);70;-;-;-;2;4;;;-;51 ₺;48 ₺
StatTrak™ Tec-9 | Brother (Minimal Wear);45;-;1;1;5;11;;55 ₺;55 ₺;50 ₺;44 ₺
StatTrak™ Galil AR | Connexion (Factory New);134;-;1;2;3;4;;159 ₺;121 ₺;122 ₺;118 ₺
XM1014 | Entombed (Field-Tested);95;2;3;6;11;14;85 ₺;87 ₺;85 ₺;82 ₺;84 ₺
StatTrak™ PP-Bizon | Runic (Factory New);43;1;1;3;3;3;42 ₺;42 ₺;44 ₺;44 ₺;44 ₺
StatTrak™ AK-47 | Legion of Anubis (Factory New);1.850;-;2;3;7;9;;1498 ₺;1465 ₺;1442 ₺;1449 ₺
StatTrak™ M4A4 | Tooth Fairy (Battle-Scarred);150;1;1;1;2;3;148 ₺;148 ₺;148 ₺;132 ₺;128 ₺
StatTrak™ Glock-18 | Vogue (Factory New);888;-;2;4;8;13;;783 ₺;739 ₺;645 ₺;650 ₺
Galil AR | Connexion (Factory New);53;-;-;-;6;12;;;-;48 ₺;46 ₺
XM1014 | Entombed (Factory New);250;-;-;-;3;4;;;-;235 ₺;245 ₺
StatTrak™ P2000 | Gnarled (Factory New);37;-;1;3;8;13;;36 ₺;38 ₺;34 ₺;35 ₺
StatTrak™ MAC-10 | Allure (Factory New);145;-;-;-;-;2;;;-;;
Desert Eagle | Printstream (Well-Worn);1.150;-;2;10;25;37;;910 ₺;977 ₺;953 ₺;941 ₺
★ StatTrak™ Nomad Knife | Slaughter (Factory New);20.615;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Night Stripe (Minimal Wear);10.409;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Forest DDPAT (Battle-Scarred);12.359;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Case Hardened (Battle-Scarred);25.806;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Stained (Field-Tested);15.500;-;-;-;1;1;;;-;13000 ₺;13000 ₺
StatTrak™ Music Kit | Amon Tobin, All for Dust;120;-;1;1;3;5;;90 ₺;90 ₺;103 ₺;106 ₺
Music Kit | Amon Tobin, All for Dust;227;1;1;2;4;5;96 ₺;96 ₺;84 ₺;71 ₺;73 ₺
★ StatTrak™ Nomad Knife | Forest DDPAT (Minimal Wear);5.800;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Case Hardened (Well-Worn);10.917;-;-;-;-;-;;;-;;
★ Nomad Knife | Safari Mesh (Factory New);6.577;-;-;-;-;1;;;-;;
★ StatTrak™ Paracord Knife | Boreal Forest (Battle-Scarred);5.189;1;1;1;1;1;3600 ₺;3600 ₺;3600 ₺;3600 ₺;3600 ₺
★ Skeleton Knife | Night Stripe (Factory New);36.762;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Case Hardened (Battle-Scarred);9.472;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Boreal Forest (Field-Tested);4.811;-;-;-;-;1;;;-;;
★ Nomad Knife | Night Stripe (Minimal Wear);8.320;-;-;-;1;1;;;-;6350 ₺;6350 ₺
★ Paracord Knife | Fade (Minimal Wear);15.937;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Urban Masked (Field-Tested);12.017;-;-;-;-;2;;;-;;
★ StatTrak™ Paracord Knife | Scorched (Minimal Wear);5.440;-;-;-;-;-;;;-;;
★ Classic Knife | Forest DDPAT (Factory New);10.711;-;-;-;-;-;;;-;;
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn);520;-;-;1;2;3;;;400 ₺;390 ₺;368 ₺
★ StatTrak™ Nomad Knife | Slaughter (Minimal Wear);18.000;-;-;-;2;2;;;-;14832 ₺;14832 ₺
StatTrak™ M4A1-S | Player Two (Well-Worn);1.888;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Crimson Web (Minimal Wear);36.706;-;-;-;-;-;;;-;;
★ Skeleton Knife | Boreal Forest (Minimal Wear);9.866;-;-;1;3;4;;;7200 ₺;7250 ₺;7238 ₺
StatTrak™ M4A1-S | Player Two (Battle-Scarred);1.689;-;-;-;-;-;;;-;;
StatTrak™ Music Kit | Dren, Gunman Taco Truck;900;-;-;4;6;7;;;750 ₺;818 ₺;804 ₺
StatTrak™ Music Kit | Sam Marshall, Bodacious;49;-;1;2;2;2;;55 ₺;48 ₺;48 ₺;48 ₺
StatTrak™ Glock-18 | Bullet Queen (Battle-Scarred);499;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Forest DDPAT (Minimal Wear);5.466;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Fade (Minimal Wear);37.076;-;-;-;-;-;;;-;;
StatTrak™ MAG-7 | Justice (Well-Worn);132;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Scorched (Field-Tested);7.800;-;-;-;-;-;;;-;;
★ Paracord Knife | Urban Masked (Well-Worn);4.728;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Blue Steel (Field-Tested);13.361;-;-;-;-;-;;;-;;
StatTrak™ M4A1-S | Player Two (Field-Tested);1.350;1;2;2;8;11;1225 ₺;1263 ₺;1263 ₺;1366 ₺;1329 ₺
★ StatTrak™ Survival Knife | Blue Steel (Battle-Scarred);6.500;-;-;-;-;-;;;-;;
StatTrak™ M4A1-S | Player Two (Factory New);9.061;-;-;-;1;1;;;-;6157 ₺;6157 ₺
StatTrak™ Glock-18 | Bullet Queen (Factory New);5.361;-;-;-;-;-;;;-;;
★ StatTrak™ Talon Knife | Damascus Steel (Well-Worn);18.527;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Forest DDPAT (Well-Worn);5.925;-;-;-;-;-;;;-;;
StatTrak™ M4A1-S | Player Two (Minimal Wear);3.100;-;2;2;3;4;;2561 ₺;2561 ₺;2657 ₺;2618 ₺
StatTrak™ AK-47 | Phantom Disruptor (Battle-Scarred);431;-;-;-;1;1;;;-;335 ₺;335 ₺
StatTrak™ Negev | Prototype (Factory New);54;-;-;-;1;1;;;-;60 ₺;60 ₺
StatTrak™ SSG 08 | Fever Dream (Minimal Wear);148;1;5;6;11;17;122 ₺;116 ₺;112 ₺;121 ₺;122 ₺
StatTrak™ SG 553 | Darkwing (Factory New);305;-;-;1;2;4;;;200 ₺;200 ₺;226 ₺
StatTrak™ MAG-7 | Justice (Battle-Scarred);105;-;-;-;-;-;;;-;;
★ StatTrak™ Navaja Knife | Ultraviolet (Well-Worn);8.239;-;-;1;1;1;;;3075 ₺;3075 ₺;3075 ₺
StatTrak™ CZ75-Auto | Distressed (Factory New);57;1;1;1;1;2;56 ₺;56 ₺;56 ₺;56 ₺;44 ₺
StatTrak™ AK-47 | Phantom Disruptor (Factory New);1.137;-;2;4;7;8;;978 ₺;1023 ₺;1065 ₺;1042 ₺
M4A1-S | Player Two (Factory New);4.500;-;-;1;1;2;;;3470 ₺;3470 ₺;3385 ₺
StatTrak™ MAC-10 | Disco Tech (Well-Worn);140;-;-;2;4;6;;;113 ₺;119 ₺;127 ₺
★ StatTrak™ Paracord Knife | Safari Mesh (Field-Tested);4.671;-;-;-;1;2;;;-;2950 ₺;2900 ₺
StatTrak™ Glock-18 | Bullet Queen (Well-Worn);555;-;-;2;3;5;;;328 ₺;335 ₺;337 ₺
★ StatTrak™ Classic Knife | Urban Masked (Battle-Scarred);5.643;-;-;-;-;-;;;-;;
StatTrak™ SSG 08 | Fever Dream (Well-Worn);160;-;-;1;3;3;;;145 ₺;113 ₺;113 ₺
StatTrak™ SSG 08 | Fever Dream (Factory New);277;-;-;-;3;8;;;-;245 ₺;262 ₺
StatTrak™ SSG 08 | Fever Dream (Battle-Scarred);46;-;-;-;-;-;;;-;;
StatTrak™ AWP | Capillary (Well-Worn);65;3;3;4;4;5;55 ₺;55 ₺;54 ₺;54 ₺;61 ₺
StatTrak™ MAC-10 | Disco Tech (Factory New);1.554;-;-;-;-;-;;;-;;
SG 553 | Darkwing (Factory New);60;-;2;4;6;10;;52 ₺;100 ₺;87 ₺;82 ₺
StatTrak™ AWP | Capillary (Factory New);329;-;-;1;2;3;;;310 ₺;400 ₺;355 ₺
MAG-7 | Justice (Factory New);380;-;-;-;-;-;;;-;;
StatTrak™ MAC-10 | Disco Tech (Minimal Wear);492;-;2;2;2;2;;520 ₺;520 ₺;520 ₺;520 ₺
StatTrak™ MP5-SD | Desert Strike (Factory New);40;-;-;1;1;1;;;27 ₺;27 ₺;27 ₺
AWP | Capillary (Factory New);93;-;-;1;4;7;;;60 ₺;78 ₺;72 ₺
StatTrak™ SG 553 | Darkwing (Minimal Wear);70;2;3;4;10;12;61 ₺;63 ₺;60 ₺;63 ₺;64 ₺
StatTrak™ SCAR-20 | Enforcer (Minimal Wear);87;-;-;-;2;5;;;-;68 ₺;60 ₺
StatTrak™ Sawed-Off | Apocalypto (Minimal Wear);59;-;-;-;2;4;;;-;59 ₺;65 ₺
StatTrak™ Desert Eagle | Blue Ply (Factory New);241;-;-;2;3;8;;;285 ₺;285 ₺;264 ₺
MAC-10 | Disco Tech (Factory New);486;-;2;2;4;5;;356 ₺;356 ₺;392 ₺;385 ₺
StatTrak™ MAC-10 | Disco Tech (Field-Tested);210;-;2;2;3;5;;242 ₺;242 ₺;236 ₺;208 ₺
StatTrak™ MAG-7 | Justice (Minimal Wear);365;-;-;-;-;-;;;-;;
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear);570;2;5;7;15;18;598 ₺;500 ₺;479 ₺;490 ₺;505 ₺
MAG-7 | Justice (Well-Worn);58;-;1;1;1;2;;40 ₺;40 ₺;40 ₺;40 ₺
Sawed-Off | Apocalypto (Factory New);60;1;1;4;7;9;60 ₺;60 ₺;58 ₺;54 ₺;57 ₺
P2000 | Acid Etched (Factory New);63;-;1;2;3;4;;55 ₺;54 ₺;58 ₺;63 ₺
SCAR-20 | Enforcer (Factory New);85;-;2;3;3;4;;50 ₺;50 ₺;50 ₺;51 ₺
StatTrak™ AWP | Capillary (Field-Tested);42;2;7;13;24;34;39 ₺;42 ₺;41 ₺;41 ₺;42 ₺
StatTrak™ AWP | Capillary (Battle-Scarred);50;2;2;2;7;10;35 ₺;35 ₺;35 ₺;42 ₺;42 ₺
★ StatTrak™ Classic Knife | Night Stripe (Battle-Scarred);6.500;-;-;1;1;1;;;5000 ₺;5000 ₺;5000 ₺
★ StatTrak™ Paracord Knife | Crimson Web (Battle-Scarred);7.498;-;-;-;-;-;;;-;;
MAG-7 | Justice (Battle-Scarred);54;-;-;-;-;1;;;-;;
★ Survival Knife | Stained (Factory New);6.467;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Boreal Forest (Battle-Scarred);6.623;-;-;-;-;-;;;-;;
★ Skeleton Knife | Scorched (Well-Worn);10.169;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Scorched (Battle-Scarred);8.880;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Safari Mesh (Battle-Scarred);5.147;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Urban Masked (Field-Tested);5.354;-;-;-;-;-;;;-;;
★ Skeleton Knife | Night Stripe (Battle-Scarred);10.782;-;-;-;-;-;;;-;;
Patch | Alyx;320;-;-;-;-;-;;;-;;
Civil Protection Pin;600;-;-;-;-;-;;;-;;
Sustenance! Pin;209;2;3;7;8;11;180 ₺;180 ₺;190 ₺;193 ₺;196 ₺
Vortigaunt Pin;215;1;3;5;9;13;210 ₺;187 ₺;172 ₺;186 ₺;188 ₺
Black Mesa Pin;184;-;-;3;8;17;;;182 ₺;167 ₺;156 ₺
Alyx Pin;1.094;-;-;-;2;2;;;-;845 ₺;845 ₺
Health Pin;870;-;1;1;3;7;;870 ₺;870 ₺;790 ₺;804 ₺
★ Skeleton Knife | Safari Mesh (Factory New);12.133;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Forest DDPAT (Battle-Scarred);5.311;-;-;-;1;1;;;-;2750 ₺;2750 ₺
★ StatTrak™ Paracord Knife | Blue Steel (Well-Worn);8.363;-;-;-;1;1;;;-;5090 ₺;5090 ₺
★ StatTrak™ Survival Knife | Blue Steel (Well-Worn);6.150;-;-;-;-;1;;;-;;
★ StatTrak™ Skeleton Knife | Blue Steel (Well-Worn);20.000;-;-;-;-;1;;;-;;
★ StatTrak™ Classic Knife | Stained (Field-Tested);6.992;-;-;-;1;1;;;-;5975 ₺;5975 ₺
★ StatTrak™ Survival Knife | Slaughter (Field-Tested);10.887;-;-;-;-;-;;;-;;
★ Skeleton Knife | Urban Masked (Battle-Scarred);8.967;-;-;1;2;3;;;7800 ₺;7400 ₺;7433 ₺
★ StatTrak™ Survival Knife | Stained (Well-Worn);5.700;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Crimson Web (Well-Worn);11.193;-;-;-;-;-;;;-;;
★ Nomad Knife | Safari Mesh (Battle-Scarred);6.083;-;-;-;1;1;;;-;4158 ₺;4158 ₺
★ StatTrak™ Paracord Knife | Stained (Field-Tested);5.477;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Safari Mesh (Minimal Wear);5.180;-;1;1;1;1;;3500 ₺;3500 ₺;3500 ₺;3500 ₺
★ StatTrak™ Nomad Knife | Forest DDPAT (Field-Tested);5.862;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Crimson Web (Field-Tested);7.820;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Slaughter (Minimal Wear);10.748;-;-;1;2;3;;;7350 ₺;7875 ₺;7383 ₺
Patch | Dragon;114;-;1;1;1;1;;90 ₺;90 ₺;90 ₺;90 ₺
Patch | Howl;950;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Stained (Field-Tested);8.900;-;-;-;-;-;;;-;;
Patch | Koi;70;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Case Hardened (Field-Tested);9.667;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Night Stripe (Well-Worn);5.500;-;-;-;-;-;;;-;;
★ Survival Knife | Boreal Forest (Battle-Scarred);3.350;-;-;-;1;3;;;-;2800 ₺;2800 ₺
★ Skeleton Knife | Night Stripe (Well-Worn);15.788;-;-;-;-;1;;;-;;
★ StatTrak™ Survival Knife | Crimson Web (Field-Tested);7.913;-;-;2;3;3;;;6450 ₺;6556 ₺;6556 ₺
★ Paracord Knife | Night Stripe (Battle-Scarred);4.403;-;-;-;-;1;;;-;;
★ StatTrak™ Paracord Knife | Boreal Forest (Field-Tested);4.869;-;-;-;-;-;;;-;;
★ Skeleton Knife | Safari Mesh (Well-Worn);8.485;-;-;-;-;-;;;-;;
★ Classic Knife | Safari Mesh (Factory New);9.475;-;-;-;-;-;;;-;;
★ Paracord Knife | Night Stripe (Minimal Wear);5.531;-;-;-;1;3;;;-;3560 ₺;4231 ₺
★ StatTrak™ Skeleton Knife | Case Hardened (Field-Tested);26.571;-;-;-;-;-;;;-;;
★ Nomad Knife | Case Hardened (Factory New);27.593;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Night Stripe (Field-Tested);4.390;-;-;1;2;2;;;3250 ₺;3275 ₺;3275 ₺
★ StatTrak™ Paracord Knife | Scorched (Battle-Scarred);4.649;-;-;-;-;-;;;-;;
★ Survival Knife | Scorched (Well-Worn);3.499;1;1;2;4;6;2850 ₺;2850 ₺;2925 ₺;2963 ₺;2908 ₺
★ StatTrak™ Survival Knife | Scorched (Well-Worn);10.666;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Slaughter (Minimal Wear);11.401;-;-;-;-;1;;;-;;
★ StatTrak™ Survival Knife | Safari Mesh (Field-Tested);4.565;-;1;2;2;2;;3500 ₺;3375 ₺;3375 ₺;3375 ₺
★ Skeleton Knife | Forest DDPAT (Battle-Scarred);9.224;-;-;-;1;1;;;-;6002 ₺;6002 ₺
★ Skeleton Knife | Crimson Web (Well-Worn);25.555;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Case Hardened (Well-Worn);9.066;-;-;-;-;1;;;-;;
★ Paracord Knife | Blue Steel (Battle-Scarred);4.500;-;-;-;1;1;;;-;3950 ₺;3950 ₺
★ StatTrak™ Paracord Knife | Case Hardened (Factory New);24.497;-;-;-;-;-;;;-;;
★ Paracord Knife | Boreal Forest (Battle-Scarred);4.470;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Boreal Forest (Field-Tested);8.743;-;-;1;2;3;;;7700 ₺;7475 ₺;7317 ₺
★ Nomad Knife | Stained (Battle-Scarred);8.874;-;1;1;1;1;;6358 ₺;6358 ₺;6358 ₺;6358 ₺
★ StatTrak™ Skeleton Knife | Forest DDPAT (Field-Tested);9.106;-;-;-;-;-;;;-;;
★ Paracord Knife | Forest DDPAT (Battle-Scarred);4.000;1;2;3;3;4;3750 ₺;3450 ₺;3316 ₺;3316 ₺;3103 ₺
★ Nomad Knife | Safari Mesh (Well-Worn);5.504;1;1;2;2;2;4100 ₺;4100 ₺;4693 ₺;4693 ₺;4693 ₺
★ StatTrak™ Paracord Knife | Stained (Minimal Wear);7.100;-;-;-;-;-;;;-;;
★ Skeleton Knife | Case Hardened (Factory New);34.913;-;-;-;-;-;;;-;;
★ Paracord Knife | Safari Mesh (Battle-Scarred);4.250;-;-;-;2;4;;;-;2800 ₺;2738 ₺
★ StatTrak™ Nomad Knife;15.449;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Forest DDPAT (Field-Tested);4.786;-;-;1;2;2;;;3590 ₺;3270 ₺;3270 ₺
★ Paracord Knife | Scorched (Battle-Scarred);4.221;-;-;3;4;4;;;3267 ₺;3125 ₺;3125 ₺
★ StatTrak™ Nomad Knife | Crimson Web (Minimal Wear);20.170;-;-;-;-;-;;;-;;
★ Survival Knife | Crimson Web (Well-Worn);6.344;-;-;-;1;1;;;-;4410 ₺;4410 ₺
★ StatTrak™ Survival Knife | Safari Mesh (Battle-Scarred);4.301;-;-;1;1;1;;;3250 ₺;3250 ₺;3250 ₺
★ StatTrak™ Skeleton Knife | Blue Steel (Battle-Scarred);19.448;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Fade (Factory New);18.040;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Case Hardened (Field-Tested);13.265;-;-;-;-;-;;;-;;
★ Paracord Knife | Forest DDPAT (Well-Worn);4.400;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Crimson Web (Battle-Scarred);21.603;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Forest DDPAT (Minimal Wear);9.932;-;-;-;-;-;;;-;;
★ Survival Knife | Crimson Web (Minimal Wear);8.981;-;1;1;1;1;;6300 ₺;6300 ₺;6300 ₺;6300 ₺
★ StatTrak™ Survival Knife | Stained (Minimal Wear);6.214;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Crimson Web (Field-Tested);26.885;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Boreal Forest (Battle-Scarred);5.757;-;1;2;3;3;;3475 ₺;3538 ₺;3555 ₺;3555 ₺
★ StatTrak™ Survival Knife | Scorched (Field-Tested);4.400;-;-;-;1;2;;;-;3005 ₺;3152 ₺
★ Nomad Knife | Boreal Forest (Minimal Wear);6.591;-;-;-;1;1;;;-;5000 ₺;5000 ₺
★ Survival Knife | Forest DDPAT (Battle-Scarred);4.359;1;1;1;2;3;3133 ₺;3133 ₺;3133 ₺;3005 ₺;3114 ₺
★ Survival Knife | Urban Masked (Battle-Scarred);4.100;-;-;-;1;1;;;-;3000 ₺;3000 ₺
★ Nomad Knife | Slaughter (Field-Tested);18.520;-;-;-;-;-;;;-;;
★ Skeleton Knife | Safari Mesh (Field-Tested);8.390;-;-;-;1;2;;;-;6700 ₺;6750 ₺
★ Skeleton Knife | Stained (Battle-Scarred);12.845;-;-;-;1;1;;;-;9400 ₺;9400 ₺
★ Nomad Knife | Urban Masked (Minimal Wear);9.626;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Urban Masked (Field-Tested);5.042;-;-;-;-;1;;;-;;
★ StatTrak™ Survival Knife | Case Hardened (Battle-Scarred);7.061;-;-;-;-;-;;;-;;
★ Nomad Knife | Stained (Factory New);16.314;-;-;-;-;-;;;-;;
★ Skeleton Knife | Boreal Forest (Well-Worn);9.149;-;-;-;-;-;;;-;;
★ Skeleton Knife | Scorched (Minimal Wear);9.000;-;-;-;-;-;;;-;;
★ Nomad Knife | Case Hardened (Minimal Wear);17.316;-;-;1;1;2;;;11618 ₺;11618 ₺;12061 ₺
★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear);18.444;-;-;-;-;-;;;-;;
★ Skeleton Knife | Case Hardened (Battle-Scarred);15.036;-;1;2;2;2;;11000 ₺;10501 ₺;10501 ₺;10501 ₺
★ StatTrak™ Survival Knife | Night Stripe (Minimal Wear);5.476;-;-;-;-;-;;;-;;
★ Survival Knife | Night Stripe (Well-Worn);4.387;-;-;-;1;4;;;-;3000 ₺;3123 ₺
★ Nomad Knife | Blue Steel (Battle-Scarred);11.772;1;1;1;3;3;9999 ₺;9999 ₺;9999 ₺;9683 ₺;9683 ₺
★ Paracord Knife | Boreal Forest (Minimal Wear);4.811;-;-;2;3;7;;;3283 ₺;3305 ₺;3408 ₺
★ Skeleton Knife | Night Stripe (Minimal Wear);14.367;-;-;1;1;1;;;11500 ₺;11500 ₺;11500 ₺
★ Nomad Knife | Stained (Minimal Wear);11.612;-;-;-;-;-;;;-;;
★ Nomad Knife | Scorched (Well-Worn);5.792;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Boreal Forest (Minimal Wear);6.550;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear);32.298;-;-;-;-;-;;;-;;
★ Survival Knife | Case Hardened (Minimal Wear);6.600;-;1;1;2;4;;6600 ₺;6600 ₺;7127 ₺;6726 ₺
★ Nomad Knife | Forest DDPAT (Well-Worn);4.000;-;-;1;2;2;;;4000 ₺;3850 ₺;3850 ₺
★ Survival Knife | Slaughter (Field-Tested);8.978;1;2;2;3;4;6800 ₺;6800 ₺;6800 ₺;7414 ₺;7211 ₺
★ StatTrak™ Survival Knife | Forest DDPAT (Field-Tested);4.527;-;-;-;-;-;;;-;;
★ Paracord Knife | Urban Masked (Battle-Scarred);4.420;-;-;1;3;4;;;3219 ₺;3516 ₺;3287 ₺
Nova | Baroque Orange (Battle-Scarred);5.220;-;-;-;-;-;;;-;;
★ Survival Knife | Blue Steel (Well-Worn);5.000;-;3;4;7;8;;4616 ₺;4412 ₺;4336 ₺;4344 ₺
★ Paracord Knife | Crimson Web (Well-Worn);7.250;-;1;1;2;2;;5950 ₺;5950 ₺;6025 ₺;6025 ₺
★ Nomad Knife | Stained (Field-Tested);10.913;-;-;-;-;-;;;-;;
★ Paracord Knife | Crimson Web (Battle-Scarred);6.067;-;-;-;-;-;;;-;;
★ Paracord Knife | Blue Steel (Field-Tested);6.073;-;-;1;1;1;;;5450 ₺;5450 ₺;5450 ₺
★ Nomad Knife | Forest DDPAT (Minimal Wear);6.271;-;-;1;2;2;;;4400 ₺;4978 ₺;4978 ₺
★ Paracord Knife | Urban Masked (Minimal Wear);3.999;-;-;1;2;2;;;3434 ₺;3617 ₺;3617 ₺
★ Nomad Knife | Forest DDPAT (Field-Tested);5.724;-;-;-;1;1;;;-;3500 ₺;3500 ₺
★ StatTrak™ Classic Knife | Blue Steel (Field-Tested);8.524;-;-;-;-;-;;;-;;
★ Survival Knife | Case Hardened (Well-Worn);5.750;-;1;3;3;4;;4495 ₺;5727 ₺;5727 ₺;5345 ₺
★ StatTrak™ Paracord Knife | Night Stripe (Field-Tested);4.921;-;-;-;-;-;;;-;;
★ Nomad Knife | Blue Steel (Well-Worn);12.227;-;-;-;-;-;;;-;;
★ Nomad Knife | Crimson Web (Minimal Wear);20.343;-;-;1;1;1;;;15578 ₺;15578 ₺;15578 ₺
★ Survival Knife | Safari Mesh (Battle-Scarred);4.284;-;-;1;3;3;;;3000 ₺;3000 ₺;3000 ₺
★ StatTrak™ Skeleton Knife | Night Stripe (Field-Tested);12.148;-;-;-;-;-;;;-;;
★ Skeleton Knife | Stained (Field-Tested);16.000;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Stained (Well-Worn);7.450;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Case Hardened (Battle-Scarred);10.670;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Blue Steel (Field-Tested);6.508;-;-;-;-;-;;;-;;
★ StatTrak™ Paracord Knife | Case Hardened (Minimal Wear);12.000;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Slaughter (Field-Tested);30.725;-;-;-;-;-;;;-;;
★ Survival Knife | Night Stripe (Battle-Scarred);4.567;-;-;-;-;-;;;-;;
★ Nomad Knife | Slaughter (Factory New);21.564;1;1;3;3;3;15244 ₺;15244 ₺;16270 ₺;16270 ₺;16270 ₺
★ Paracord Knife | Slaughter (Field-Tested);9.887;-;-;-;1;1;;;-;7300 ₺;7300 ₺
★ Paracord Knife | Night Stripe (Well-Worn);5.150;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Case Hardened (Minimal Wear);13.444;-;-;-;-;-;;;-;;
★ StatTrak™ Survival Knife | Slaughter (Factory New);13.000;-;-;-;-;-;;;-;;
★ Survival Knife | Stained (Well-Worn);4.445;-;3;5;6;6;;3717 ₺;3638 ₺;3662 ₺;3662 ₺
★ StatTrak™ Survival Knife | Case Hardened (Field-Tested);7.994;-;-;-;-;-;;;-;;
★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested);13.595;-;-;-;-;-;;;-;;
★ StatTrak™ Classic Knife | Stained (Minimal Wear);9.321;-;-;-;-;-;;;-;;
★ Paracord Knife | Case Hardened (Factory New);14.209;-;-;-;1;1;;;-;10250 ₺;10250 ₺
★ Survival Knife | Scorched (Minimal Wear);4.100;-;-;1;3;4;;;4572 ₺;3824 ₺;3643 ₺
★ Paracord Knife | Scorched (Minimal Wear);4.800;-;-;-;3;4;;;-;3905 ₺;3716 ₺
Music Kit | Scarlxrd: King, Scar;72;2;3;12;23;36;66 ₺;61 ₺;65 ₺;67 ₺;63 ₺
★ Nomad Knife | Forest DDPAT (Battle-Scarred);5.450;-;-;-;-;-;;;-;;
★ StatTrak™ Skeleton Knife | Stained (Minimal Wear);22.776;-;-;-;-;-;;;-;;
★ Paracord Knife | Safari Mesh (Well-Worn);4.293;-;-;-;-;-;;;-;;
